Alternative,Subset,g1,g2,g3,g4,Class
a398,SI,90.63,569.53,2.96,50,Cl2
a399,HS,46.62,481.84,0.31,27,Cl3
a400,SI,68.77,565.66,16.6,80,Cl3
a401,SI,130.26,1211.21,7.49,83,Cl4
a402,SI,89.75,1165.43,4.34,83,Cl4
a403,SI,63.08,480.46,6.11,58,Cl3
a404,SI,110.63,389.33,1.19,50,Cl2
a405,SI,62.85,964.01,11.79,100,Cl3
a406,SI,74.48,379.04,11.27,78,Cl3
a407,SI,54.18,322.16,13,63,Cl2
a408,HS,59.14,359.65,0.36,45,Cl3
a409,TA,31.92,53,0.41,35,Cl2
a410,SI,57.82,132.9,0.19,35,Cl2
a411,NJN,46.99,25.64,0,18.08,Cl2
a412,SI,45.54,247.11,0.53,60,Cl2
a413,SI,55.22,706.75,0.75,77,Cl2
a414,HS,41.28,63.55,0.06,10,Cl2
a415,NJN,57.25,67.65,3,35.43,Cl1
a416,SI,44.83,576.64,0.6,90,Cl2
a417,NJN,71.75,95.07,0.55,43.43,Cl2
a418,SI,52.22,100.72,0.89,42,Cl2
a419,SI,102.16,542.65,4.6,67,Cl2
a420,SI,47.32,661.97,3.12,90,Cl2
a421,SI,56.94,255.52,1.99,80,Cl2
a422,SI,62.01,899.9,3.81,88,Cl2
a423,SI,70.99,185.04,8.05,80,Cl3
a424,SI,75.75,302.5,2.48,65,Cl3
a425,SI,98.25,314.39,5.11,80,Cl3
a426,SI,118.37,808,9.15,91,Cl3
a427,NJN,48.11,49.74,2.09,49.7,Cl2
a428,HS,45.83,96.71,0.62,28,Cl2
a429,SI,118.61,78.7,13.81,59,Cl3
a430,NJN,131.63,343.52,6.23,48.28,Cl3
a431,SI,60.97,452.2,2,90,Cl2
a432,SI,116.71,751.19,3.76,84,Cl3
a433,SI,61.54,861.18,2.07,85,Cl2
a434,SI,86.65,411.56,1.16,65,Cl2
a435,SI,91.29,469.12,3.14,68,Cl2
a436,SI,75.26,1135.13,7.93,80,Cl3
a437,HS,51.58,322.81,0.55,35,Cl3
a438,SI,122.87,458.08,2.76,65,Cl3
a439,SI,52.05,463.1,8.56,36,Cl2
a440,SI,52.77,199.47,0.51,70,Cl2
a441,HS,44.17,118.63,0.31,20,Cl2
a442,SI,57.45,498.39,1.62,43,Cl2
a443,SI,61.7,350.53,1.05,43,Cl2
a444,NZ,40.82,167.65,0.82,42,Cl1
a445,SI,77.49,136.46,1.44,70,Cl3
a446,SI,54.91,480.99,3.46,90,Cl2
a447,SI,80.36,748.2,2.17,90,Cl3
a448,SI,79.03,269.77,7.48,80,Cl3
a449,SI,58.15,508.26,1.2,69,Cl2
a450,SI,100.25,294.11,0.5,50,Cl2
a451,SI,88.82,525.47,5.24,82,Cl3
a452,HS,47.78,271.23,3.01,30,Cl2
a453,SI,53.03,966.18,4.12,50,Cl2
a454,SI,156.04,609.39,3.53,80,Cl3
a455,SI,43.8,300.9,1.81,80,Cl2
a456,SI,57.82,1146,6.51,82,Cl3
a457,NJN,83.52,159.28,6.29,20.69,Cl2
a458,SI,53.72,284.18,0.86,50,Cl2
a459,SI,86.42,69.79,0.41,50,Cl2
a460,HS,43.48,123,0.02,10,Cl2
a461,SI,106.91,112.68,2.9,45,Cl2
a462,SI,81.99,231.53,0.8,70,Cl3
a463,SI,70.27,1282.04,2.12,71,Cl3
a464,SI,51.64,362.83,2.48,80,Cl2
a465,NJN,115.38,364.93,3.63,75,Cl3
a466,SI,60.86,323,2.92,75,Cl2
a467,SI,55.54,331.22,6.3,78,Cl2
a468,SI,73.58,284.72,6.63,90,Cl3
a469,SI,90.83,766.31,7.73,80,Cl3
a470,SI,81.08,1219.73,5.16,73,Cl3
a471,NJN,86.09,14.28,0.03,57.75,Cl3
a472,SI,73.15,1359.03,4.5,93,Cl3
a473,HS,47.95,386.92,0.68,30,Cl3
a474,SI,70.67,252.07,4.5,84,Cl3
a475,SI,63.04,330.68,0.61,60,Cl2
a476,SI,53.66,203.09,0.45,38,Cl2
a477,SI,52.25,221.58,1.37,60,Cl2
a478,SI,74.09,407.38,2.98,84,Cl2
a479,NJN,43.52,73.35,4.71,43.66,Cl2
a480,HS,49,2,0,15,Cl2
a481,HS,27.82,65.37,0.07,20,Cl2
a482,SI,66.69,415.03,0.04,90,Cl3
a483,SI,39.81,124.25,0.81,70,Cl2
a484,SI,130.47,1066.49,3.88,100,Cl4
a485,SI,77.09,1408,5.69,90,Cl3
a486,SI,63.76,524.51,3.02,41,Cl2
a487,SI,122.28,520.32,3.04,90,Cl3
a488,SI,47.24,395.04,5.13,56,Cl2
a489,SI,58.8,479.84,3.6,70,Cl2
a490,SI,87.99,335.41,5.81,70,Cl2
a491,SI,50.6,456.52,4.82,100,Cl3
a492,SI,123.21,751,36.12,100,Cl4
a493,SI,56.38,498.43,2.13,58,Cl2
a494,SI,94.98,442.76,1.54,90,Cl3
a495,SI,58.05,991.59,5.77,68,Cl3
a496,SI,83.94,656.18,7.57,100,Cl3
a497,SI,58.46,361.63,2.05,64,Cl2
a498,SI,54.99,518.07,8.29,86,Cl3
a499,HS,36.71,130.93,0.38,25,Cl2
a500,SI,43.96,526.71,0.94,90,Cl2
a501,SI,53.29,450.89,5.79,100,Cl3
a502,NJN,152.83,730.07,5.16,59.66,Cl3
a503,SI,80.18,1141.07,2.68,92,Cl3
a504,SI,112.37,330.9,4.76,88,Cl3
a505,SI,61.11,395.57,3.72,80,Cl2
a506,SI,58.13,376.51,7.09,58,Cl2
a507,NJN,50.05,393.38,4.54,53.44,Cl2
a508,SI,69.56,507.76,1.95,80,Cl3
a509,SI,102.67,449.44,0.77,80,Cl3
a510,SI,57.72,543.24,9.93,89,Cl3
a511,SI,63.66,1120.34,7.09,89,Cl3
a512,SI,108.37,853.73,3.6,70,Cl3
a513,HS,0,8.15,56,27,Cl1
a514,NZ,86.93,64.74,75.41,66,Cl3
a515,SI,64.93,473.1,10.15,69,Cl3
a516,TA,33.12,29.18,0.69,55,Cl2
a517,HS,26.53,0,0,0,Cl1
a518,SI,29.76,182.06,29.33,68,Cl2
a519,NZ,72.3,933.7,0.94,86,Cl3
a520,NZ,115.88,225.55,1.58,85,Cl4
a521,NZ,62.78,383.39,0,47,Cl2
a522,NZ,71.33,597.93,0.14,88,Cl2
a523,SI,38.87,291.47,58.11,65,Cl3
a524,SI,64.35,437.91,20.7,95,Cl3
a525,SI,41.27,240.84,7.22,70,Cl2
a526,SI,26.59,350.59,8.73,82,Cl2
a527,NZ,15.71,18.46,10,25,Cl1
a528,HS,29.36,73.66,0.02,0,Cl1
a529,SI,60.29,11,0,0,Cl2
a530,HS,46.62,78,0,5,Cl2
a531,HS,111.01,381.28,1.84,85,Cl4
a532,HS,50.25,507.89,0.69,72,Cl3
a533,HS,38.59,133.71,0.14,21,Cl2
a534,HS,86.58,466.48,1.65,96,Cl4
a535,HS,71.14,39.7,0.51,61,Cl3
a536,HS,66.98,160.3,0.5,63,Cl3
a537,HS,60.5,142.24,1.6,68,Cl3
a538,NJN,64.08,218.17,2.44,52.45,Cl2
a539,NZ,53.86,318.9,1.1,29,Cl1
a540,NZ,58.96,322.92,5.37,70,Cl2
a541,NZ,69.8,348.61,0.88,70,Cl2
a542,HS,49.98,380.63,0.21,45,Cl2
a543,NZ,66.58,369.42,2.43,80,Cl2
a544,NZ,74.79,533.55,7.96,81,Cl3
a545,NZ,84.99,413.57,1.27,80,Cl3
a546,HS,37.44,180.48,0.06,35,Cl2
a547,NZ,67.09,517.43,9.12,60,Cl3
a548,NZ,81.73,340.43,2.89,78,Cl3
a549,NZ,74.19,340.38,1.5,60,Cl2
a550,NJN,57.78,16.3,0.66,20.47,Cl2
a551,HS,59.99,566.57,1.5,95,Cl4
a552,HS,40.51,550.06,0.72,55,Cl2
a553,HS,47.51,496.73,0.73,80,Cl3
a554,HS,46.19,568.35,1.38,55,Cl3
a555,HS,49.35,932.55,0.14,80,Cl3
a556,NJN,23.15,74.24,3.56,18.98,Cl1
a557,SI,39.22,119.26,1.69,53,Cl1
a558,HS,47.05,48.17,1.23,10,Cl2
a559,NZ,72.19,729.34,0.09,79,Cl3
a560,NZ,71.17,1423.66,0.84,53,Cl3
